time	code	high_limit	low_limit
2022-03-01	002537.XSHE	9.5	7.78
2022-03-02	002537.XSHE	10.45	8.55
2022-03-03	002537.XSHE	11.5	9.41
2022-03-04	002537.XSHE	11.67	9.55
2022-03-07	002537.XSHE	10.55	8.63
2022-03-08	002537.XSHE	10.64	8.7
2022-03-09	002537.XSHE	10.03	8.21
2022-03-10	002537.XSHE	9.68	7.92
2022-03-11	002537.XSHE	10.65	8.71
2022-03-14	002537.XSHE	11.11	9.09
2022-03-01	603717.XSHG	16.69	13.65
2022-03-02	603717.XSHG	16.85	13.79
2022-03-03	603717.XSHG	16.37	13.39
2022-03-04	603717.XSHG	16.37	13.39
2022-03-07	603717.XSHG	16.32	13.36
2022-03-08	603717.XSHG	16.38	13.4
2022-03-09	603717.XSHG	16.2	13.26
2022-03-10	603717.XSHG	15.07	12.33
2022-03-11	603717.XSHG	13.56	11.1
2022-03-14	603717.XSHG	12.36	10.12
2022-03-01 	600919.XSHG 	7.32 	5.99
2022-03-02 	600919.XSHG 	7.52 	6.16
2022-03-03 	600919.XSHG 	7.51 	6.15
2022-03-04 	600919.XSHG 	7.61 	6.23
2022-03-07 	600919.XSHG 	7.63 	6.25
2022-03-08 	600919.XSHG 	7.49 	6.13
2022-03-09 	600919.XSHG 	7.27 	5.95
2022-03-10 	600919.XSHG 	7.17 	5.87
2022-03-11 	600919.XSHG 	7.36 	6.02
2022-03-14 	600919.XSHG 	7.30 	5.98
